CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B64190598;6360;HYDROPHARMA, SLL;2006-06-20;[ 2042 ];Fabricació de perfums i productes de cosmètica;INDÚSTRIA;C. INDÚSTRIA núm. 4;[ 08212 ];Sant Llorenç Savall;Vallès Occidental;BARCELONA;44000.0;1.0;44000;1;1;0;2;0;0;2023
B64175680;6357;CERRAJERIA HERNANDEZ Y GUIRADO, SLL;2006-06-19;[ 2561 ];Tractament i revestiment de metalls;INDÚSTRIA;C. MOIXERÓ núm. 4 Pis 2 Porta 1;[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;52500.0;25.0;2100;1;1;1;1;0;0;2023
B64181480;6356;TUNOCK, SLL;2006-06-16;[ 7430 ];Activitats de traducció i d'interpretació;SERVEIS;AV. MARE DE DEU DE MONTSERRAT núm. 105 Pis 5È Porta 2A;[ 08024 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
B64168198;6355;SCARLA & PARTNERS, SLL;2006-06-16;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;comp. MONTIGALÀ - C/ ANNA TUGAS núm. 8 Esc. CENTR Pis 4T Porta 1A;[ 08917 ];Badalona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
B64176050;6351;REHABILITACIONES TECNICAS DEL VALLES, SLL;2006-06-13;[ 4110 ];Promoció immobiliària;CONSTRUCCIÓ;PL. EUROPA núm. 5 Pis LOCAL Porta 8;[ 08211 ];Castellar Del Vallès;Vallès Occidental;BARCELONA;6000.0;1.0;6000;1;1;0;1;0;0;2023
B43846021;6350;A VILASECA ELS NOSTRES PLATS, SLL;2006-06-13;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. SANTIAGO ROSSINYOL núm. 14;[ 43480 ];Vila-Seca (Vila-Seca De Solcina);Tarragonès;TARRAGONA;3006.0;1.0;3006;0;2;1;0;0;0;2023
B64187784;6347;TRILITERA SERVICIOS EDITORIALES, SLL;2006-06-13;[ 5811 ];Edició de llibres;SERVEIS;C. RABASSA núm. 44 Pis BAIXOS;[ 08024 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;2;1;0;0;0;0;2023
B64069628;6345;ABRAC MEDITERRANEO XXI, SLL;2006-06-13;[ 4690 ];Comerç a l'engròs no especialitzat;SERVEIS;PTGE. DEL MAR D'ALBORAN núm. 2 Pis LOCAL Porta 8;[ 08918 ];Badalona;Barcelonès;BARCELONA;66000.0;220.0;300;2;0;0;2;0;0;2023
B64167281;6344;SOL SANT ANDREU, SLL;2006-06-12;[ 93042 ];Altres activitats de manteniment físic;SERVEIS;C. PENEDÈS núm. 10 Pis LOCAL Porta 1;[ 08740 ];Sant Andreu De La Barca;Baix Llobregat;BARCELONA;18000.0;1.0;18000;0;2;1;0;0;0;2023
B64181365;6341;CICLE SERVEIS INFORMATICS, SLL;2006-06-09;[ 6202 ];Activitats de consultoria sobre tecnologies de la informació;SERVEIS;C. BARO DE LA BARRE núm. 17;[ 08023 ];Barcelona;Barcelonès;BARCELONA;50000.0;2.0;25000;3;0;1;0;0;0;2023
B64197791;6339;CORVEL TOURS, SLL;2006-06-08;[ 7911 ];Activitats de les agències de viatges;SERVEIS;AV. SEGLE XXI núm. 53-55 Pis BAIXOS;[ 08840 ];Viladecans;Baix Llobregat;BARCELONA;3006.0;1.0;60102;1;1;1;0;0;0;2023
B64136070;6338;LUZ DE NUEVA GENERACION, SLL;2006-06-08;[ 2740 ];Fabricació de llums elèctrics i aparells d'il·luminació;INDÚSTRIA;C. BALLESTER núm. 21-23 Esc. 1 Pis 3R;[ 08023 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
B64165145;6336;ESTRUCTURAS MENDEZ Y GALLEGO, SLL;2006-06-07;[ 4110 ];Promoció immobiliària;CONSTRUCCIÓ;C. SANT ISIDRE núm. 8 Pis 2N Porta 1A;[ 08004 ];Barcelona;Barcelonès;BARCELONA;9000.0;1.0;9000;2;0;1;0;0;0;2023
B64180532;6332;TACTO DISEÑO GRAFICO, SLL;2006-06-06;[ 1812 ];Altres activitats d'impressió i arts gràfiques;INDÚSTRIA;C. CASTANYER núm. 7 Pis 4T Porta 3A;[ 08022 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;2;0;0;1;0;0;2023
B43845536;6331;TINTORERIA HISPANO BELGA, SLL;2006-06-02;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;C. CAPUTXINS núm. 18 Pis BAIXOS;[ 43001 ];Tarragona;Tarragonès;TARRAGONA;3009.0;1.0;3009;2;1;0;0;0;0;2023
B64128960;6330;EL CALIU, ENSINISTRAMENT I SERVEIS, SLL;2006-06-02;[ 513 ];Comerç a l'engròs de productes alimentaris, begudes i tabac;SERVEIS;C. RAFAEL ALBERTI núm. 16 Pis BAIXOS;[ 08757 ];Corbera De Llobregat;Baix Llobregat;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
